API 호출 시간,link_id,road_name,st_node_nm,ed_node_nm,map_dist,reg_cd,speed,travel_time
<<<<<<< Updated upstream
2025-11-26 13:32:00,1179910010,강남순환로,본선시점부(금천),금천영업소,273,117,74.0,13
2025-11-26 13:32:01,1179910020,강남순환로,금천영업소,관악터널입구,118,117,77.0,6
2025-11-26 13:32:01,1179910030,강남순환로,관악터널입구,관악터널중간부,2770,117,91.0,110
2025-11-26 13:32:02,1209910040,강남순환로,관악터널중간부,관악터널출구부,2088,120,99.0,76
2025-11-26 13:32:03,1209910050,강남순환로,관악터널출구부,봉천터널입구부,296,120,99.0,11
2025-11-26 13:32:03,1209910060,강남순환로,봉천터널입구부,봉천터널중간부,1823,120,98.0,67
2025-11-26 13:32:04,1209910070,강남순환로,봉천터널중간부,봉천터널출구부,1378,120,102.0,49
2025-11-26 13:32:05,1209910080,강남순환로,봉천터널출구부,서초터널입구부,542,120,102.0,19
2025-11-26 13:32:05,1219910090,강남순환로,서초터널입구부,서초터널중간부,1567,121,101.0,56
2025-11-26 13:32:06,1219910100,강남순환로,서초터널중간부,선암영업소,1526,121,97.0,57
2025-11-26 13:32:06,1219910110,강남순환로,선암영업소,선암UD,387,121,91.0,15
2025-11-26 13:32:07,1219920010,강남순환로,선암UD,선암영업소,384,121,79.0,18
2025-11-26 13:32:08,1219920020,강남순환로,선암영업소,서초터널중간부,1660,121,94.0,64
2025-11-26 13:32:08,1219920030,강남순환로,서초터널중간부,서초터널출구부,1437,121,95.0,54
2025-11-26 13:32:09,1209920040,강남순환로,서초터널출구부,봉천터널입구부,546,120,77.0,26
2025-11-26 13:32:10,1209920050,강남순환로,봉천터널입구부,봉천터널중간부,1848,120,93.0,72
2025-11-26 13:32:10,1209920060,강남순환로,봉천터널중간부,봉천터널출구부,1358,120,85.0,58
2025-11-26 13:32:11,1209920070,강남순환로,봉천터널출구부,관악터널입구부,300,120,79.0,14
2025-11-26 13:32:11,1209920080,강남순환로,관악터널입구부,관악터널중간부,2286,120,95.0,87
2025-11-26 13:32:12,1179920090,강남순환로,관악터널중간부,관악터널출구부,2561,117,95.0,97
2025-11-26 13:32:13,1179920100,강남순환로,관악터널출구부,금천영업소,117,117,76.0,6
2025-11-26 13:32:13,1179920110,강남순환로,금천영업소,본선시점부(금천),273,117,73.0,13
2025-11-26 13:32:14,2210000500,강변북로,토평삼거리,강변북로구리시계,1997,104,80.0,90
2025-11-26 13:32:14,1040004100,강변북로,강변북로구리시계,광진교북단,1478,104,90.0,59
2025-11-26 13:32:15,1040002100,강변북로,광진교북단,천호대교북단,258,104,90.0,10
2025-11-26 13:32:16,1040001500,강변북로,천호대교북단,올림픽대교북단,897,104,80.0,40
2025-11-26 13:32:16,1040001100,강변북로,올림픽대교북단,잠실철교북단,662,104,80.0,30
2025-11-26 13:32:17,1040000500,강변북로,잠실철교북단,잠실대교북단,869,104,75.0,42
2025-11-26 13:32:18,1040000200,강변북로,잠실대교북단,청담대교북단,2012,104,82.0,88
2025-11-26 13:32:18,1040000800,강변북로,청담대교북단,영동대교북단,709,104,77.0,33
2025-11-26 13:32:19,1030000400,강변북로,영동대교북단,뚝섬정수장앞,1457,104,76.0,69
2025-11-26 13:32:19,1030000600,강변북로,뚝섬정수장앞,성수대교북단램프(강변북로),512,103,76.0,24
2025-11-26 13:32:20,1030000800,강변북로,성수대교북단램프(강변북로),동부간선강변북로분기점,259,103,76.0,12
2025-11-26 13:32:21,1030001000,강변북로,동부간선강변북로분기점,동부간선도로강변북로분기점,582,103,76.0,28
2025-11-26 13:32:21,1030001100,강변북로,동부간선도로강변북로분기점,동호대교북단,1433,103,76.0,68
2025-11-26 13:32:22,1020000900,강변북로,동호대교북단,반포대교북단,2937,102,48.0,220
2025-11-26 13:32:22,1020000300,강변북로,반포대교북단,동작대교북단,1055,102,51.0,74
2025-11-26 13:32:23,1020000200,강변북로,동작대교북단,한강시민공원이촌지구,1150,102,48.0,86
2025-11-26 13:32:24,1020000600,강변북로,한강시민공원이촌지구,한강대교북단,826,102,48.0,62
2025-11-26 13:32:24,1020000800,강변북로,한강대교북단,이촌대림아파트(강변북로),856,102,60.0,51
2025-11-26 13:32:25,1020001200,강변북로,이촌대림아파트(강변북로),원효대교북단,565,102,60.0,34
2025-11-26 13:32:25,1020001400,강변북로,원효대교북단,원효로진출입(강변북로),882,102,58.0,55
2025-11-26 13:32:26,1020001800,강변북로,원효로진출입(강변북로),마포대교북단,381,102,58.0,24
2025-11-26 13:32:27,1130000400,강변북로,마포대교북단,강변북로마포-서강,642,113,59.0,39
2025-11-26 13:32:28,1130000800,강변북로,강변북로마포-서강,서강대교북단,804,113,59.0,49
2025-11-26 13:32:28,1130001400,강변북로,서강대교북단,상수진출입(강변북로),375,113,62.0,22
2025-11-26 13:32:29,1130001000,강변북로,상수진출입(강변북로),양화대교북단,1684,113,62.0,98
2025-11-26 13:32:29,1130002000,강변북로,양화대교북단,망원동진출입(강변북로),739,113,60.0,44
2025-11-26 13:32:30,1130002400,강변북로,망원동진출입(강변북로),내부순환로연결램프(강변북로),612,113,60.0,37
2025-11-26 13:32:31,1130003400,강변북로,내부순환로연결램프(강변북로),성산대교북단,372,113,60.0,22
2025-11-26 13:32:31,1130004400,강변북로,성산대교북단,월드컵대교북단,724,113,63.0,41
2025-11-26 13:32:32,1130005800,강변북로,월드컵대교북단,노을공원,1044,113,74.0,51
2025-11-26 13:32:32,1130007000,강변북로,노을공원,가양대교북단,1464,113,74.0,71
2025-11-26 13:32:33,1130006900,강변북로,가양대교북단,노을공원,1466,113,80.0,66
2025-11-26 13:32:34,1130005700,강변북로,노을공원,월드컵대교북단,1042,113,80.0,47
2025-11-26 13:32:34,1130004300,강변북로,월드컵대교북단,성산대교북단,748,113,64.0,42
2025-11-26 13:32:35,1130003300,강변북로,성산대교북단,내부순환로연결램프(강변북로),350,113,59.0,21
2025-11-26 13:32:36,1130002300,강변북로,내부순환로연결램프(강변북로),망원동진출입(강변북로),616,113,59.0,38
2025-11-26 13:32:36,1130001900,강변북로,망원동진출입(강변북로),양화대교북단,731,113,59.0,45
2025-11-26 13:32:37,1130000900,강변북로,양화대교북단,상수진출입(강변북로),1731,113,72.0,87
2025-11-26 13:32:38,1130001300,강변북로,상수진출입(강변북로),서강대교북단,753,113,72.0,38
2025-11-26 13:32:38,1130000700,강변북로,서강대교북단,강변북로마포-서강,399,113,70.0,21
2025-11-26 13:32:39,1130000300,강변북로,강변북로마포-서강,마포대교북단,591,113,70.0,30
2025-11-26 13:32:39,1020001700,강변북로,마포대교북단,원효로진출입(강변북로),494,113,72.0,25
2025-11-26 13:32:40,1020001300,강변북로,원효로진출입(강변북로),이촌대림아파트(강변북로),1010,102,72.0,51
