stdDate,stdHour,routeNo,routeName,conzoneId,conzoneName,vdsId,trafficAmout,speed,shareRatio,timeAvg,grade,updownTypeCode
20251120,1525,1710,용인서울선,1710CZE060,광교IC-서수지IC,1710VDE00050,31,7,40,676,3,E
20251120,1525,3010,상주영천선,3010CZS040,군위JCT-서군위IC,3010VDS03800,22,16,52,206,3,S
20251120,1525,3010,상주영천선,3010CZS040,군위JCT-서군위IC,3010VDS03900,22,16,52,223,3,S
20251120,1525,3010,상주영천선,3010CZS040,군위JCT-서군위IC,3010VDS04000,17,11,36,305,3,S
20251120,1525,3010,상주영천선,3010CZS040,군위JCT-서군위IC,3010VDS04100,34,20,51,175,3,S
20251120,1525,4000,봉담동탄선,4000CZE010,서오산JC-북오산IC,4000VDE00003,39,40,28,87,2,E
20251120,1525,4000,봉담동탄선,4000CZE010,서오산JC-북오산IC,4000VDE00005,44,35,27,73,3,E
20251120,1525,4000,봉담동탄선,4000CZS010,북오산IC-서오산JC,4000VDS00004,26,30,15,98,3,S
20251120,1525,4000,봉담동탄선,4000CZS020,동탄JC-북오산IC,4000VDS00009,27,17,30,217,3,S
20251120,1525,4001,인천김포선,4001CZS100,남청라JC-시점,4001VDS00100,15,9,61,553,3,S

20251120,1543,0010,경부선,0010CZE400,안성JC-남사진위IC,0010VDE28000,67,17,3,153,3,E
20251120,1543,0010,경부선,0010CZE460,신갈JC-서울TG,0010VDE30600,56,38,12,58,3,E
20251120,1543,0010,경부선,0010CZE460,신갈JC-서울TG,0010VDE30690,94,39,9,86,3,E
20251120,1543,0010,경부선,0010CZE460,신갈JC-서울TG,0010VDE30800,67,17,19,216,3,E
20251120,1543,0010,경부선,0010CZE505,금토JC-양재IC,0010VDE32350,43,13,3,330,3,E
20251120,1543,0100,남해선(순천-부산),0100CZE205,칠원JC - 창원1터널(서측),0100VDE10600,37,26,34,271,3,E
20251120,1543,0100,남해선(순천-부산),0100CZE205,칠원JC - 창원1터널(서측),0100VDE10601,37,26,34,74,3,E
20251120,1543,0100,남해선(순천-부산),0100CZE205,칠원JC - 창원1터널(서측),0100VDE10610,37,26,34,47,3,E
20251120,1543,0100,남해선(순천-부산),0100CZS210,창원1터널(동측) - 창원1터널(서측),0100VDS10606,32,37,22,80,3,S
20251120,1543,0100,남해선(순천-부산),0100CZS215,북창원IC - 창원1터널(동측),0100VDS10609,36,36,27,49,3,S
20251120,1543,0100,남해선(순천-부산),0100CZS215,북창원IC - 창원1터널(동측),0100VDS10615,36,36,27,4,3,S
20251120,1543,0100,남해선(순천-부산),0100CZS220,창원JC-북창원IC,0100VDS10870,40,39,9,94,3,S
20251120,1543,0150,서해안선,0150CZE280,서평택IC-서평택JC,0150VDE26000,56,27,32,155,3,E
20251120,1543,0150,서해안선,0150CZE380,일직JC-금천IC,0150VDE29410,34,19,48,115,3,E
20251120,1543,0153,평택시흥선,0153CZE020,조암IC-마도JC,0153VDE00150,18,20,11,218,3,E
20251120,1543,0153,평택시흥선,0153CZE025,마도JC-송산마도IC,0153VDE00160,27,15,8,176,3,E
20251120,1543,0153,평택시흥선,0153CZE025,마도JC-송산마도IC,0153VDE00170,39,39,25,91,3,E
20251120,1543,0153,평택시흥선,0153CZE030,송산마도IC-남안산JC,0153VDE00190,38,24,5,179,3,E
20251120,1543,0153,평택시흥선,0153CZE030,송산마도IC-남안산JC,0153VDE00220,47,31,4,138,3,E
20251120,1543,0153,평택시흥선,0153CZE030,송산마도IC-남안산JC,0153VDE00240,31,29,5,101,3,E
20251120,1543,0153,평택시흥선,0153CZS010,조암IC-서평택JC,0153VDS00030,41,35,4,106,3,S
