stdDate,stdHour,routeNo,routeName,conzoneId,conzoneName,vdsId,trafficAmout,speed,shareRatio,timeAvg,grade,updownTypeCode
20251106,1739,1000,수도권제1순환선,1000CZE150,별내IC-의정부IC,1000VDE03611,88,25,29,69,3,E
20251106,1739,1000,수도권제1순환선,1000CZE150,별내IC-의정부IC,1000VDE03612,78,27,31,65,3,E
20251106,1739,1000,수도권제1순환선,1000CZE150,별내IC-의정부IC,1000VDE03614,74,18,33,160,3,E
20251106,1739,1000,수도권제1순환선,1000CZE150,별내IC-의정부IC,1000VDE03616,76,23,28,149,3,E
20251106,1739,1000,수도권제1순환선,1000CZE150,별내IC-의정부IC,1000VDE03618,70,31,23,68,3,E
20251106,1739,1000,수도권제1순환선,1000CZE160,의정부IC-송추IC,1000VDE03620,75,27,30,110,3,E
20251106,1739,1000,수도권제1순환선,1000CZE160,의정부IC-송추IC,1000VDE03621,88,33,23,75,3,E
20251106,1739,1000,수도권제1순환선,1000CZE160,의정부IC-송추IC,1000VDE03622,75,29,25,53,3,E
20251106,1739,1000,수도권제1순환선,1000CZE160,의정부IC-송추IC,1000VDE03624,82,38,20,38,3,E
20251106,1739,1000,수도권제1순환선,1000CZE250,노오지JC-계양IC,1000VDE04400,35,15,40,216,3,E
20251106,1739,1000,수도권제1순환선,1000CZE250,노오지JC-계양IC,1000VDE04500,35,15,40,230,3,E
20251106,1739,1000,수도권제1순환선,1000CZE350,조남JC-산본IC,1000VDE06300,80,34,17,58,3,E
20251106,1739,1000,수도권제1순환선,1000CZE350,조남JC-산본IC,1000VDE06361,80,34,17,105,3,E
20251106,1739,1000,수도권제1순환선,1000CZE350,조남JC-산본IC,1000VDE06362,80,34,17,79,3,E
20251106,1739,1000,수도권제1순환선,1000CZE390,청계TG-판교JC,1000VDE07100,77,35,9,131,3,E
20251106,1739,1000,수도권제1순환선,1000CZE390,청계TG-판교JC,1000VDE07200,77,35,9,131,3,E
20251106,1739,1000,수도권제1순환선,1000CZS030,송파IC-성남TG,1000VDS00700,22,26,7,113,3,S
20251106,1739,1000,수도권제1순환선,1000CZS030,송파IC-성남TG,1000VDS00800,22,26,7,100,3,S
20251106,1739,1000,수도권제1순환선,1000CZS030,송파IC-성남TG,1000VDS01000,71,17,33,174,3,S
20251106,1739,1000,수도권제1순환선,1000CZS055,하남JC-서하남JC,1000VDS01851,36,28,25,31,3,S
20251106,1739,1000,수도권제1순환선,1000CZS055,하남JC-서하남JC,1000VDS01852,36,28,25,62,3,S
20251106,1739,1000,수도권제1순환선,1000CZS055,하남JC-서하남JC,1000VDS01900,36,28,25,100,3,S
20251106,1739,1000,수도권제1순환선,1000CZS055,하남JC-서하남JC,1000VDS02000,75,31,23,173,3,S
20251106,1739,1000,수도권제1순환선,1000CZS160,송추IC-의정부IC,1000VDS03628,94,39,18,40,3,S
20251106,1739,1000,수도권제1순환선,1000CZS160,송추IC-의정부IC,1000VDS03631,96,38,26,42,3,S
20251106,1739,1000,수도권제1순환선,1000CZS160,송추IC-의정부IC,1000VDS03633,88,36,20,75,3,S
20251106,1739,1000,수도권제1순환선,1000CZS170,양주TG-송추IC,1000VDS03644,82,26,32,124,3,S
20251106,1739,1000,수도권제1순환선,1000CZS180,통일로IC-양주TG,1000VDS03648,84,36,19,220,3,S
20251106,1739,1000,수도권제1순환선,1000CZS180,통일로IC-양주TG,1000VDS03649,84,36,19,95,3,S
20251106,1739,1000,수도권제1순환선,1000CZS300,시흥IC-장수IC,1000VDS05100,63,35,18,162,3,S
20251106,1739,1000,수도권제1순환선,1000CZS300,시흥IC-장수IC,1000VDS05200,63,35,18,148,3,S
20251106,1739,1000,수도권제1순환선,1000CZS330,도리JC-안현JC,1000VDS05800,56,19,13,128,3,S
20251106,1739,1000,수도권제1순환선,1000CZS350,산본IC-조남JC,1000VDS06354,81,25,36,129,3,S
20251106,1739,1000,수도권제1순환선,1000CZS350,산본IC-조남JC,1000VDS06355,81,25,36,80,3,S
20251106,1739,1000,수도권제1순환선,1000CZS390,판교JC-청계TG,1000VDS07300,89,28,26,100,3,S
20251106,1739,1000,수도권제1순환선,1000CZS390,판교JC-청계TG,1000VDS07400,89,28,26,175,3,S
20251106,1739,1000,수도권제1순환선,1000CZS390,판교JC-청계TG,1000VDS07500,89,28,26,226,3,S
20251106,1739,1040,남해2지선,1040CZE040,가락IC-서부산IC,1040VDE01100,37,20,28,208,3,E
20251106,1739,1040,남해2지선,1040CZE040,가락IC-서부산IC,1040VDE01200,37,20,28,241,3,E
20251106,1739,1100,제2경인선,1100CZE030,문학IC-남동IC,1100VDE00600,30,13,47,208,3,E
